t,f
0,50
0.01,50
0.02,50
0.03,50
0.04,50
0.05,50
0.06,50
0.07,50
0.08,50
0.09,50
0.1,50
0.11,50
0.12,50
0.13,50
0.14,50
0.15,50
0.16,50
0.17,50
0.18,50
0.19,50
0.2,50
0.21,50
0.22,50
0.23,50
0.24,50
0.25,50
0.26,50
0.27,50
0.28,50
0.29,50
0.3,50
0.31,50
0.32,50
0.33,50
0.34,50
0.35,50
0.36,50
0.37,50
0.38,50
0.39,50
0.4,50
0.41,50
0.42,50
0.43,50
0.44,50
0.45,50
0.46,50
0.47,50
0.48,50
0.49,50
0.5,50
0.51,50
0.52,50
0.53,50
0.54,50
0.55,50
0.56,50
0.57,50
0.58,50
0.59,50
0.6,50
0.61,50
0.62,50
0.63,50
0.64,50
0.65,50
0.66,50
0.67,50
0.68,50
0.69,50
0.7,50
0.71,50
0.72,50
0.73,50
0.74,50
0.75,50
0.76,50
0.77,50
0.78,50
0.79,50
0.8,50
0.81,50
0.82,50
0.83,50
0.84,50
0.85,50
0.86,50
0.87,50
0.88,50
0.89,50
0.9,50
0.91,50
0.92,50
0.93,50
0.94,50
0.95,50
0.96,50
0.97,50
0.98,50
0.99,50
1,50
1.01,49.99
1.02,49.98000003
1.03,49.97000019
1.04,49.9600006
1.05,49.95000146
1.06,49.94000301
1.07,49.93000552
1.08,49.92000931
1.09,49.91001475
1.1,49.90002223
1.11,49.89003218
1.12,49.88004507
1.13,49.87006138
1.14,49.86008165
1.15,49.85010641
1.16,49.84013623
1.17,49.83017172
1.18,49.82021347
1.19,49.81026213
1.2,49.80031834
1.21,49.79038278
1.22,49.78045611
1.23,49.77053905
1.24,49.7606323
1.25,49.75073657
1.26,49.7408526
1.27,49.73098113
1.28,49.7211229
1.29,49.71127867
1.3,49.70144921
1.31,49.69163527
1.32,49.68183764
1.33,49.67205709
1.34,49.6622944
1.35,49.65255036
1.36,49.64282574
1.37,49.63312134
1.38,49.62343794
1.39,49.61377633
1.4,49.6041373
1.41,49.59452164
1.42,49.58493013
1.43,49.57536356
1.44,49.56582272
1.45,49.55630837
1.46,49.54682129
1.47,49.53736228
1.48,49.52793208
1.49,49.51853147
1.5,49.50916122
1.51,49.49982207
1.52,49.49051479
1.53,49.48124013
1.54,49.47199881
1.55,49.46279159
1.56,49.45361919
1.57,49.44448235
1.58,49.43538177
1.59,49.42631817
1.6,49.41729226
1.61,49.40830475
1.62,49.39935631
1.63,49.39044764
1.64,49.38157942
1.65,49.37275231
1.66,49.36396698
1.67,49.35522409
1.68,49.34652428
1.69,49.3378682
1.7,49.32925648
1.71,49.32068973
1.72,49.31216859
1.73,49.30369364
1.74,49.29526551
1.75,49.28688477
1.76,49.27855201
1.77,49.2702678
1.78,49.26203271
1.79,49.25384729
1.8,49.2457121
1.81,49.23762767
1.82,49.22959453
1.83,49.2216132
1.84,49.21368421
1.85,49.20580804
1.86,49.1979852
1.87,49.19021617
1.88,49.18250143
1.89,49.17484145
1.9,49.16723668
1.91,49.15968757
1.92,49.15219457
1.93,49.14475811
1.94,49.13737861
1.95,49.13005648
1.96,49.12279212
1.97,49.11558594
1.98,49.10843832
1.99,49.10134963
2,49.09432024
2.01,49.08735052
2.02,49.0804408
2.03,49.07359144
2.04,49.06680276
2.05,49.06007508
2.06,49.05340873
2.07,49.046804
2.08,49.04026118
2.09,49.03378057
2.1,49.02736245
2.11,49.02100707
2.12,49.01471471
2.13,49.0084856
2.14,49.00232001
2.15,48.99621814
2.16,48.99018024
2.17,48.98420652
2.18,48.97829718
2.19,48.97245242
2.2,48.96667243
2.21,48.96095739
2.22,48.95530748
2.23,48.94972285
2.24,48.94420367
2.25,48.93875008
2.26,48.93336222
2.27,48.92804021
2.28,48.92278419
2.29,48.91759426
2.3,48.91247052
2.31,48.90741308
2.32,48.90242203
2.33,48.89749744
